TY1,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。,また、東寺のように、五大明王と呼ばれる、主要な明王の中央に配されることも多い。
TY2,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。,ニューイングランド風は、牛乳をベースとした、白いクリームスープであり、ボストンクラムチャウダーとも呼ばれる。
TY3,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。,コンピュータゲームのメーカーや、業界団体などに関連する人物のカテゴリ。
TY4,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。,サービスマネージャー導入駅のため、大井町駅から、遠隔管理している。
TY5,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。,シルバーサーファー襲撃事件までに、リチャーズは、チーム名と共に、国際的にスーパーヒーロー、および、有名人として、認知されている。
TY6,ツュレンハルト領は、ヴュルテンベルク領に編入された。,ツュレンハルト領は、ヴュルテンベルク領に編入された。
TY7,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。,時間領域と、空間領域で共通する処理手法は、フィルタリングによる、入力信号の強化である。
TY8,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。,シャンチーの専業プロは、チームから支払われる給料と、対局費を、主な収入としている。
TY9,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。,また禰寝氏は、中山王の治める、琉球王国との交易にも参加した。
TY10,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。,スマートフォンから、フィーチャーフォンまで、マルチデバイスに対応。
TY11,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。,軽妙洒脱なナレーションから、情緒感溢れる語りまで、幅広い表現力を持つ。
TY12,構造は、鋼製の単一アーチで、橋脚は、石積みである。,構造は、鋼製の単一アーチで、橋脚は、石積みである。
TY13,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。,そこへ、オーナーが新しいシェフとして、腕利きのヒョヌクを招く。
TY14,クィーンズアベニューアルファに所属している。,クィーンズアベニューアルファに所属している。
TY15,一方で、漁業と商業で、リャネス港は繁栄していた。,一方で、漁業と商業で、リャネス港は繁栄していた。
TY16,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。,この、ニューサウスウェールズ代表チームが、ワラビーズの中核となって行く。
TY17,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。,ただし、ギャンブル依存症の入院治療を行っている病院は、わずかである。
TY18,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。,他のメジャーなディストリビューションに比べ、セキュリティー上の問題の修正が、遅い場合もある。
TY19,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。,ベルガートーア前の、ヴェディゲンウーファーパークには、戦争と弾圧の犠牲者のための記念碑が建っている。
TY20,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。,全米パブリッシャーズ協会の、ベストストラテジーゲームオブザイヤーを、日本人として受賞。
TY21,痛みは、点滴より鎮痛薬を、静脈投与することで、鎮痛を行う。,痛みは、点滴より鎮痛薬を、静脈投与することで、鎮痛を行う。
TY22,このときに、浮遊大陸プルヴァマにある、中立国、ビュエルバが、ある情報筋から、バッシュ将軍の処刑と、前王女、アーシェの自害を発表。,このときに、浮遊大陸プルヴァマにある、中立国、ビュエルバが、ある情報筋から、バッシュ将軍の処刑と、前王女、アーシェの自害を発表。
TY23,南西部ウォーレンは、ベイアーマンファームズと、フィッツジェラルドの地区で、構成される。,南西部ウォーレンは、ベイアーマンファームズと、フィッツジェラルドの地区で、構成される。
TY24,このため、プラズマ中のイオンや、電子の持つ、平均運動エネルギーを、温度で表現することがある。,このため、プラズマ中のイオンや、電子の持つ、平均運動エネルギーを、温度で表現することがある。
TY25,その飄々とした人柄が、老若男女に慕われている。,その飄々とした人柄が、老若男女に慕われている。
TY26,現在、ニュージャージー州、ムーアズタウンに住んでいる。,現在、ニュージャージー州、ムーアズタウンに住んでいる。
TY27,町域にあった、三根山藩は、長岡藩に、米百俵を送ったことで有名。,町域にあった、三根山藩は、長岡藩に、米百俵を送ったことで有名。
TY28,このとき、ペリメーデーは、アムピクトリュオーンに同行して、テーバイに来ていた、リキュムニオスに、妻としてあたえられた。,このとき、ペリメーデーは、アムピクトリュオーンに同行して、テーバイに来ていた、リキュムニオスに、妻としてあたえられた。
TY29,現在の滑走を目的とした、スキーブーツは、硬いプラスチックシェルと、柔らかいインナーブーツからなる。,現在の滑走を目的とした、スキーブーツは、硬いプラスチックシェルと、柔らかいインナーブーツからなる。
TY30,防氷ブーツは、表面に張られた、ゴム製の薄い膜でできている。,防氷ブーツは、表面に張られた、ゴム製の薄い膜でできている。
TY31,後者の代表が、ウェッジウッドの、ジャスパーウェアである。,後者の代表が、ウェッジウッドの、ジャスパーウェアである。
TY32,キー局が発信する、ニュースネットワーク名を冠したタイトルの、ニュース番組の中では、レギュラー放送が、最も多い。,キー局が発信する、ニュースネットワーク名を冠したタイトルの、ニュース番組の中では、レギュラー放送が、最も多い。
TY33,芸能プロダクション、アミューズのグループ企業。,芸能プロダクション、アミューズのグループ企業。
TY34,長母音を省略して、エリュシオンとも表記される。,長母音を省略して、エリュシオンとも表記される。
